HAWAIAN AIRLINES - 1998 DAILY CLOSES                                            

     THE VALUE OF Q IS:   0.10040E+01
     THE VALUE OF R IS:   0.20500E+00
     THE FILTER LENGTH IS:      5
     THE PREDICTION LENGTH IS:      1
     THE BASELINE VALUE IS:   0.00000E+00
     THE TEST FACTOR VALUE IS:   0.10100E+01


      I      TRUE_X        PRED_X        ERROR            Q             R   
    145   0.25000E+01   0.24468E+01   0.53183E-01   0.13625E-12   0.15106E+13
    146   0.29375E+01   0.25584E+01   0.37908E+00   0.13625E-12   0.15106E+13
    147   0.28750E+01   0.30903E+01  -0.21527E+00   0.13625E-12   0.15106E+13
    148   0.26875E+01   0.31110E+01  -0.42354E+00   0.13625E-12   0.15106E+13
    149   0.26875E+01   0.29585E+01  -0.27098E+00   0.13625E-12   0.15106E+13
    150   0.27500E+01   0.28095E+01  -0.59531E-01   0.13625E-12   0.15106E+13
    151   0.27500E+01   0.26515E+01   0.98497E-01   0.13625E-12   0.15106E+13
    152   0.25625E+01   0.27205E+01  -0.15804E+00   0.13625E-12   0.15106E+13
    153   0.27500E+01   0.26029E+01   0.14706E+00   0.13625E-12   0.15106E+13
    154   0.26875E+01   0.27719E+01  -0.84384E-01   0.13625E-12   0.15106E+13
    155   0.26250E+01   0.26614E+01  -0.36352E-01   0.13625E-12   0.15106E+13
    156   0.26250E+01   0.26547E+01  -0.29732E-01   0.13625E-12   0.15106E+13
    157   0.27500E+01   0.26790E+01   0.71006E-01   0.13625E-12   0.15106E+13
    158   0.27500E+01   0.27345E+01   0.15531E-01   0.13625E-12   0.15106E+13
    159   0.26875E+01   0.27963E+01  -0.10878E+00   0.13625E-12   0.15106E+13
    160   0.26250E+01   0.27839E+01  -0.15890E+00   0.13625E-12   0.15106E+13
    161   0.25000E+01   0.26801E+01  -0.18008E+00   0.13625E-12   0.15106E+13
    162   0.25000E+01   0.24531E+01   0.46887E-01   0.13625E-12   0.15106E+13
    163   0.24375E+01   0.24221E+01   0.15376E-01   0.13625E-12   0.15106E+13
    164   0.23125E+01   0.23552E+01  -0.42652E-01   0.13625E-12   0.15106E+13
    165   0.23750E+01   0.22459E+01   0.12910E+00   0.13625E-12   0.15106E+13
    166   0.25000E+01   0.23317E+01   0.16826E+00   0.13625E-12   0.15106E+13
    167   0.23125E+01   0.24655E+01  -0.15301E+00   0.13625E-12   0.15106E+13
    168   0.23750E+01   0.23374E+01   0.37554E-01   0.13625E-12   0.15106E+13
    169   0.22500E+01   0.24494E+01  -0.19945E+00   0.13625E-12   0.15106E+13
    170   0.21250E+01   0.22228E+01  -0.97755E-01   0.13625E-12   0.15106E+13
    171   0.21875E+01   0.20450E+01   0.14251E+00   0.13625E-12   0.15106E+13
    172   0.23750E+01   0.21323E+01   0.24270E+00   0.13625E-12   0.15106E+13
    173   0.23750E+01   0.23204E+01   0.54579E-01   0.13625E-12   0.15106E+13
    174   0.25000E+01   0.24478E+01   0.52200E-01   0.13625E-12   0.15106E+13
    175   0.24375E+01   0.26848E+01  -0.24733E+00   0.13625E-12   0.15106E+13
    176   0.23125E+01   0.25809E+01  -0.26839E+00   0.13625E-12   0.15106E+13
    177   0.22500E+01   0.23749E+01  -0.12486E+00   0.13625E-12   0.15106E+13
    178   0.21250E+01   0.22426E+01  -0.11760E+00   0.13625E-12   0.15106E+13
    179   0.21875E+01   0.20093E+01   0.17817E+00   0.13625E-12   0.15106E+13
    180   0.21250E+01   0.20874E+01   0.37611E-01   0.13625E-12   0.15106E+13
    181   0.21875E+01   0.20601E+01   0.12739E+00   0.13625E-12   0.15106E+13
    182   0.22500E+01   0.21827E+01   0.67306E-01   0.13625E-12   0.15106E+13
    183   0.21250E+01   0.22958E+01  -0.17077E+00   0.13625E-12   0.15106E+13
    184   0.21250E+01   0.21628E+01  -0.37805E-01   0.13625E-12   0.15106E+13
    185   0.19375E+01   0.21718E+01  -0.23429E+00   0.13625E-12   0.15106E+13
    186   0.20000E+01   0.18867E+01   0.11328E+00   0.13625E-12   0.15106E+13
    187   0.21250E+01   0.19138E+01   0.21117E+00   0.13625E-12   0.15106E+13
    188   0.20000E+01   0.20764E+01  -0.76419E-01   0.13625E-12   0.15106E+13
    189   0.20000E+01   0.20027E+01  -0.27109E-02   0.13625E-12   0.15106E+13
    190   0.20000E+01   0.20825E+01  -0.82485E-01   0.13625E-12   0.15106E+13
    191   0.18750E+01   0.20034E+01  -0.12838E+00   0.13625E-12   0.15106E+13
    192   0.18750E+01   0.18244E+01   0.50584E-01   0.13625E-12   0.15106E+13
    193   0.17500E+01   0.18544E+01  -0.10444E+00   0.13625E-12   0.15106E+13
    194   0.20000E+01   0.16784E+01   0.32159E+00   0.13625E-12   0.15106E+13
    195   0.21250E+01   0.19610E+01   0.16403E+00   0.13625E-12   0.15106E+13
    196   0.20625E+01   0.21767E+01  -0.11417E+00   0.13625E-12   0.15106E+13
    197   0.20625E+01   0.22134E+01  -0.15088E+00   0.13625E-12   0.15106E+13
    198   0.22500E+01   0.22488E+01   0.12110E-02   0.13625E-12   0.15106E+13
    199   0.21875E+01   0.23195E+01  -0.13198E+00   0.13625E-12   0.15106E+13
    200   0.20625E+01   0.22397E+01  -0.17717E+00   0.13625E-12   0.15106E+13
    201   0.21875E+01   0.21591E+01   0.28374E-01   0.13625E-12   0.15106E+13
    202   0.21250E+01   0.22328E+01  -0.10783E+00   0.13625E-12   0.15106E+13
    203   0.21875E+01   0.20811E+01   0.10636E+00   0.13625E-12   0.15106E+13
    204   0.21250E+01   0.22198E+01  -0.94827E-01   0.13625E-12   0.15106E+13
    205   0.23125E+01   0.21793E+01   0.13321E+00   0.13625E-12   0.15106E+13
    206   0.23125E+01   0.23539E+01  -0.41376E-01   0.13625E-12   0.15106E+13
    207   0.22500E+01   0.23924E+01  -0.14236E+00   0.13625E-12   0.15106E+13
    208   0.25000E+01   0.23512E+01   0.14883E+00   0.13625E-12   0.15106E+13
    209   0.26250E+01   0.26245E+01   0.50947E-03   0.13625E-12   0.15106E+13
    210   0.29375E+01   0.27195E+01   0.21796E+00   0.13625E-12   0.15106E+13
    211   0.30625E+01   0.31780E+01  -0.11546E+00   0.13625E-12   0.15106E+13
    212   0.29375E+01   0.34039E+01  -0.46639E+00   0.13625E-12   0.15106E+13
    213   0.29375E+01   0.32362E+01  -0.29875E+00   0.13625E-12   0.15106E+13
